benchmark,model,model_id,score,duration_s,error
metacog_error_detection,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.9735,174.5,
metacog_fok,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.6452,554.3,
metacog_jol,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.4631,165.3,
metacog_learning_monitoring,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.7068,256.4,
metacog_canary,deepseek.r1-v1_0,deepseek.r1-v1_0,0.867,118.8,
metacog_calibration,deepseek.r1-v1_0,deepseek.r1-v1_0,0.0,396.3,
metacog_control,deepseek.r1-v1_0,deepseek.r1-v1_0,0.4533,222.7,
metacog_epistemic_humility,deepseek.r1-v1_0,deepseek.r1-v1_0,0.8802,173.9,
metacog_epistemic_revision,deepseek.r1-v1_0,deepseek.r1-v1_0,0.7375,353.7,
metacog_error_detection,deepseek.r1-v1_0,deepseek.r1-v1_0,0.8978,231.0,
metacog_fok,deepseek.r1-v1_0,deepseek.r1-v1_0,0.5956,812.5,
metacog_jol,deepseek.r1-v1_0,deepseek.r1-v1_0,0.2759,357.7,
metacog_learning_monitoring,deepseek.r1-v1_0,deepseek.r1-v1_0,0.8942,589.9,
metacog_canary,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,1.0,11.5,
metacog_calibration,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.0,31.6,
metacog_control,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.6617,31.5,
metacog_epistemic_humility,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.92,32.6,
metacog_epistemic_revision,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.75,42.4,
metacog_error_detection,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.8768,42.1,
metacog_fok,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.6059,89.6,
metacog_jol,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.4647,48.0,
metacog_learning_monitoring,Llama 3.3 70B,meta.llama3-3-70b-instruct-v1:0,0.8144,33.4,
metacog_canary,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.928,13.0,
metacog_calibration,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.0,32.0,
metacog_control,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.615,20.2,
metacog_epistemic_humility,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.9029,28.1,
metacog_epistemic_revision,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.83,54.2,
metacog_error_detection,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.7479,32.3,
metacog_fok,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.5674,85.3,
metacog_jol,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.4647,30.9,
metacog_learning_monitoring,Llama 4 Maverick 17B,meta.llama4-maverick-17b-instruct-v1:0,0.8262,90.9,
metacog_canary,Ministral 3B,mistral.ministral-3-3b-instruct,0.0,58.9,
metacog_calibration,Ministral 3B,mistral.ministral-3-3b-instruct,,40.7,"An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: {""error"":{""code"":""validation_error"",""message"":""Internal server error"",""param"":null"
metacog_control,Ministral 3B,mistral.ministral-3-3b-instruct,0.2,80.8,
metacog_epistemic_humility,Ministral 3B,mistral.ministral-3-3b-instruct,0.2,73.7,
metacog_epistemic_revision,Ministral 3B,mistral.ministral-3-3b-instruct,0.67,25.4,
metacog_error_detection,Ministral 3B,mistral.ministral-3-3b-instruct,0.81,81.0,
metacog_fok,Ministral 3B,mistral.ministral-3-3b-instruct,0.4132,148.4,
metacog_jol,Ministral 3B,mistral.ministral-3-3b-instruct,0.4315,62.3,
metacog_learning_monitoring,Ministral 3B,mistral.ministral-3-3b-instruct,0.6906,85.1,
metacog_canary,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.803,237.8,
metacog_calibration,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.1241,93.9,
metacog_control,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.6887,194.3,
metacog_epistemic_humility,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.6629,208.5,
metacog_epistemic_revision,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.72,270.6,
metacog_error_detection,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.8978,366.9,
metacog_fok,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.59,1320.9,
metacog_jol,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.2,376.6,
metacog_learning_monitoring,GPT-OSS-120B,openai.gpt-oss-120b-1:0,0.8912,420.2,
metacog_canary,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.992,232.0,
metacog_calibration,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.0,394.2,
metacog_control,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.4246,221.4,
metacog_epistemic_humility,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.92,137.5,
metacog_epistemic_revision,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.88,946.4,
metacog_error_detection,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.7843,411.5,
metacog_fok,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.6354,1484.1,
metacog_jol,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.3627,654.2,
metacog_learning_monitoring,Qwen3 Next 80B,qwen.qwen3-next-80b-a3b,0.891,585.3,
metacog_canary,GLM 4.7,zai.glm-4.7,0.652,117.6,
metacog_calibration,GLM 4.7,zai.glm-4.7,0.0251,437.4,
metacog_control,GLM 4.7,zai.glm-4.7,0.6617,168.8,
metacog_epistemic_humility,GLM 4.7,zai.glm-4.7,0.8833,149.7,
metacog_epistemic_revision,GLM 4.7,zai.glm-4.7,0.75,126.8,
metacog_error_detection,GLM 4.7,zai.glm-4.7,0.884,266.6,
metacog_fok,GLM 4.7,zai.glm-4.7,0.5397,912.8,
metacog_jol,GLM 4.7,zai.glm-4.7,0.401,251.5,
metacog_learning_monitoring,GLM 4.7,zai.glm-4.7,0.9098,334.0,
